時間,CO2(ppm),PM2.5(μg/m³)
2025-04-25 13:21:14,912.6,10.5
2025-04-25 13:30:10,906.6,11.52
2025-04-25 14:05:50,978.6,10.44
2025-04-25 14:07:29,979.6,10.27
2025-04-25 14:08:49,985.6,9.96
2025-04-25 14:09:32,984.6,10.58
2025-04-25 14:10:10,986.6,9.98
2025-04-25 14:11:17,993.6,10.57
2025-04-25 14:12:04,992.6,9.67
2025-04-25 18:20:37,961.6,12.87
2025-04-25 18:21:11,965.6,11.82
2025-04-25 18:21:45,963.6,12.49
2025-04-25 18:22:19,957.6,13.14
2025-04-25 18:22:53,950.6,13.32
2025-04-25 18:23:28,949.6,12.76
2025-04-25 18:24:02,961.6,13.31
2025-04-25 18:24:36,972.6,12.3
2025-04-25 18:25:10,984.6,12.62
2025-04-25 18:25:44,989.6,12.69
2025-04-25 18:26:18,989.6,12.83
2025-04-25 18:26:52,992.6,12.96
2025-04-25 18:27:27,993.6,13.25
2025-04-25 18:28:01,993.6,12.54
2025-04-25 18:28:35,993.6,13.04
2025-04-25 18:29:09,989.6,13.35
2025-04-25 18:29:40,986.6,13.44
2025-04-25 18:30:14,995.6,13.91
2025-04-25 18:30:48,1014.6,12.98
2025-04-25 18:31:22,1006.6,13.16
2025-04-25 18:31:56,990.6,13.5
2025-04-25 18:32:31,986.6,13.21
2025-04-25 18:33:05,980.6,12.7
2025-04-25 18:33:39,980.6,13.03
2025-04-25 18:34:13,975.6,13.16
2025-04-25 18:34:47,962.6,12.63
2025-04-25 18:35:21,951.6,12.67
2025-04-25 18:35:55,943.6,13.66
2025-04-25 18:36:30,942.6,13.66
